,"whitelist","STAR.UMIlen","STAR.soloType","STAR.extra","kallisto.param"
"3p_v1","resources/whitelists/737K-april-2014_rc.txt","#TODO","#TODO","--outFilterMultimapNmax 50","#TODO"
"3p_v2","resources/whitelists/737K-august-2016.txt",10,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"3p_v3","resources/whitelists/3M-february-2018.txt",12,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"3p_v3.1","resources/whitelists/3M-february-2018.txt",12,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"5p_v1","resources/whitelists/737K-august-2016.txt","#TODO","#TODO","--outFilterMultimapNmax 50","#TODO"
"5p_v2","resources/whitelists/737K-august-2016.txt","#TODO","#TODO","--outFilterMultimapNmax 50","#TODO"
"visium_v1","resources/whitelists/visium-v1.txt",12,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"visium_v2","resources/whitelists/visium-v2.txt",12,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"visium_shortR1","resources/whitelists/visium-v1.txt",10,"CB_UMI_Simple","--outFilterMultimapNmax 50","#TODO"
"STRS","resources/whitelists/visium-v1.txt",12,"CB_UMI_Simple","--outFilterMultimapNmax 50 --outFilterMismatchNoverLmax 0.05  --outFilterMatchNmin 12  --outFilterScoreMinOverLread 0  --outFilterMatchNminOverLread 0 ","#TODO"
